Institution Name,Cert,FIN,Location,Effective Date,Ins. Fund,Transaction Type,Charter Class,Failure / Assistance,Total Deposits,Total Assets,Estimated Loss,City,ST,Acquiring Institution,lat,lng
SECURITY BANK OF GWINNETT COUNTY,57346,10086,"SUWANNEE, GA",7/24/2009,DIF,PA ,NM ,FAILURE,"256,578","259,182","193,519",Suwanee,GA,State Bank and Trust Company,34.051490,-84.071300
SECURITY BANK OF NORTH FULTON,57430,10089,"ALPHARETTA, GA",7/24/2009,DIF,PA ,NM ,FAILURE,"179,523","190,564","49,000",Alpharetta,GA,State Bank and Trust Company,34.075376,-84.29409
SECURITY BANK OF BIBB COUNTY,27367,10085,"MACON, GA",7/24/2009,DIF,PA ,NM ,FAILURE,"831,437","943,744","415,485",Macon,GA,State Bank and Trust Company,32.840695,-83.632402
SECURITY BANK OF HOUSTON COUNTY,27048,10087,"PERRY, GA",7/24/2009,DIF,PA ,NM ,FAILURE,"313,155","371,624","50,980",Perry,GA,State Bank and Trust Company,32.458207,-83.731572
SECURITY BANK OF JONES COUNTY,8486,10088,"GRAY, GA",7/24/2009,DIF,PA ,NM ,FAILURE,"375,238","432,712","98,201",Gray,GA,State Bank and Trust Company,33.00958,-83.533782
TEMECULA VALLEY BANK,34341,10082,"TEMECULA, CA",7/17/2009,DIF,PA ,NM ,FAILURE,"1,276,287","1,396,622","227,400",Temecula,CA,First-Citizens Bank & Trust Company,33.493639,-117.148365
BANKFIRST,34103,10081,"SIOUX FALLS, SD",7/17/2009,DIF,PA ,SM ,FAILURE,"232,203","210,844","112,171",Sioux Falls,SD,"Alerus Financial, N.A.",43.544596,-96.731103
FIRST PIEDMONT BANK,34594,10084,"WINDER, GA",7/17/2009,DIF,PA ,NM ,FAILURE,"108,499","114,113","37,998",Winder,GA,First American Bank and Trust Company,33.99261,-83.720171
"VINEYARD BANK, NATIONAL ASSOCIATION",23556,10083,"RANCHO CUCAMONGA, CA",7/17/2009,DIF,PA ,N ,FAILURE,"1,526,186","1,638,378","288,613",Rancho Cucamonga,CA,California Bank & Trust,34.106399,-117.593108
BANK OF WYOMING,22754,10080,"THERMOPOLIS, WY",7/10/2009,DIF,PA ,NM ,FAILURE,"66,598","70,188","32,758",Thermopolis,WY,Central Bank & Trust,43.646067,-108.212043
FOUNDERS BANK,18390,10074,"WORTH, IL",7/2/2009,DIF,PA ,NM ,FAILURE,"832,160","889,172","131,780",Worth,IL,The PrivateBank and Trust Company,41.689755,-87.797275
ROCK RIVER BANK,15302,10075,"OREGON, IL",7/2/2009,DIF,PA ,NM ,FAILURE,"74,896","74,808","18,696",Oregon,IL,The Harvard State Bank,42.014751,-89.332328
THE FIRST STATE BANK OF WINCHESTER,11710,10077,"WINCHESTER, IL",7/2/2009,DIF,PA ,NM ,FAILURE,"30,806","30,073","8,092",Winchester,IL,The First National Bank of Beardstown,39.629769,-90.456235
THE JOHN WARNER BANK,12093,10076,"CLINTON, IL",7/2/2009,DIF,PA ,NM ,FAILURE,"65,179","69,609","13,893",Clinton,IL,State Bank of Lincoln,40.153648,-88.964525
MILLENNIUM STATE BANK OF TEXAS,57667,10079,"DALLAS, TX",7/2/2009,DIF,PA ,NM ,FAILURE,"115,478","118,601","52,700",Dallas,TX,State Bank of Texas,32.776664,-96.796988
THE ELIZABETH STATE BANK,9262,10073,"ELIZABETH, IL",7/2/2009,DIF,PA ,NM ,FAILURE,"48,131","55,027","9,418",Elizabeth,IL,Galena State Bank and Trust Company,42.317791,-90.221517
THE FIRST NATIONAL BANK OF DANVILLE,3644,10078,"DANVILLE, IL",7/2/2009,DIF,PA ,N ,FAILURE,"140,185","148,218","25,001",Danville,IL,"First Financial Bank, N.A.",40.124481,-87.630021
HORIZON BANK,9744,10070,"PINE CITY, MN",6/26/2009,DIF,PA ,NM ,FAILURE,"69,254","84,763","24,010",Pine City,MN,"Stearns Bank, N.A.",45.82291,-92.970344
METROPACIFIC BANK,57893,10071,"IRVINE, CA",6/26/2009,DIF,PA ,NM ,FAILURE,"70,078","75,316","32,168",Irvine,CA,Sunwest Bank,33.684567,-117.826505
COMMUNITY BANK OF WEST GEORGIA,57436,10068,"VILLA RICA, GA",6/26/2009,DIF,PO ,SM ,FAILURE,"189,398","201,222","74,315",Villa Rica,GA,No Acquirer,33.732052,-84.919108
MIRAE BANK,57332,10072,"LOS ANGELES, CA",6/26/2009,DIF,PA ,NM ,FAILURE,"409,951","480,619","46,056",Los Angeles,CA,Wilshire State Bank,34.052234,-118.243685
NEIGHBORHOOD COMMUNITY BANK,35285,10069,"NEWNAN, GA",6/26/2009,DIF,PA ,SM ,FAILURE,"190,070","212,616","80,745",Newnan,GA,CharterBank,33.380672,-84.799657
SOUTHERN COMMUNITY BANK,35251,10067,"FAYETTEVILLE, GA",6/19/2009,DIF,PA ,NM ,FAILURE,"297,962","371,695","136,636",Fayetteville,GA,United Community Bank,33.448726,-84.454926
FIRST NATIONAL BANK OF ANTHONY,4614,10066,"ANTHONY, KS",6/19/2009,DIF,PA ,N ,FAILURE,"142,551","156,954","33,230",Anthony,KS,Bank of Kansas,37.153355,-98.031173
COOPERATIVE BANK,27837,10065,"WILMINGTON, NC",6/19/2009,DIF,PA ,NM ,FAILURE,"768,479","966,778","287,395",Wilmington,NC,First Bank,34.225726,-77.94471
BANK OF LINCOLNWOOD,17309,10064,"LINCOLNWOOD, IL",6/5/2009,DIF,PA ,NM ,FAILURE,"209,285","212,718","71,926",Lincolnwood,IL,Republic Bank of Chicago,42.004476,-87.730059
CITIZENS NATIONAL BANK,5757,10063,"MACOMB, IL",5/22/2009,DIF,PA ,N ,FAILURE,"393,635","438,560","38,838",Macomb,IL,Morton Community Bank,40.459208,-90.671797
STRATEGIC CAPITAL BANK,35175,10062,"CHAMPAIGN, IL",5/22/2009,DIF,PA ,NM ,FAILURE,"479,384","546,576","103,146",Champaign,IL,Midland States Bank,40.11642,-88.243383
"BANKUNITED, FSB",32247,10061,"CORAL GABLES, FL",5/21/2009,DIF,PA ,SB ,FAILURE,"8,775,985","13,111,463","5,259,246",Coral Gables,FL,BankUnited,25.72149,-80.268384
WESTSOUND BANK,34843,10060,"BREMERTON, WA",5/8/2009,DIF,PA ,NM ,FAILURE,"304,464","334,608","84,061",Bremerton,WA,Kitsap Bank,47.565007,-122.626977
AMERICA WEST BANK,35461,10057,"LAYTON, UT",5/1/2009,DIF,PA ,NM ,FAILURE,"286,040","281,564","116,556",Layton,UT,Cache Valley Bank,41.060222,-111.971053
"SILVERTON BANK, NATIONAL ASSOCIATION",26535,10059,"ATLANTA, GA",5/1/2009,DIF,PO*,N ,FAILURE,"3,314,928","4,157,246","652,400",Atlanta,GA,No Acquirer,33.748995,-84.387982
CITIZENS COMMUNITY BANK,57563,10058,"RIDGEWOOD, NJ",5/1/2009,DIF,PA ,NM ,FAILURE,"40,664","40,657","19,294",Ridgewood,NJ,North Jersey Community Bank,40.979264,-74.116531
FIRST BANK OF BEVERLY HILLS,32069,10054,"CALABASAS, CA",4/24/2009,DIF,PO ,NM ,FAILURE,"866,492","1,260,354","14,819",Calabasas,CA,No Acquirer,32.187404,-82.565689
MICHIGAN HERITAGE BANK,34369,10056,"FARMINGTON HILLS, MI",4/24/2009,DIF,PA ,SM ,FAILURE,"149,065","167,710","50,302",Farmington Hills,MI,Level One Bank,42.498994,-83.367717
"FIRST BANK OF IDAHO, FSB",34396,10055,"KETCHUM, ID",4/24/2009,DIF,PA ,SB ,FAILURE,"370,580","490,656","112,349",Ketchum,ID,"U.S. Bank, N.A.",43.68074,-114.363662
AMERICAN SOUTHERN BANK,57943,10053,"KENNESAW, GA",4/24/2009,DIF,PA ,NM ,FAILURE,"105,940","105,950","33,999",Kennesaw,GA,Bank of North Georgia,34.023434,-84.61549
