Institution Name,Cert,FIN,Location,Effective Date,Ins. Fund,Transaction Type,Charter Class,Failure / Assistance,Total Deposits,Total Assets,Estimated Loss,City,ST,Acquiring Institution,lat,lng
BANK OF WHITMAN,22528,10387,"COLFAX, WA",8/5/2011,DIF,PA ,SM ,FAILURE,"515,732","548,570","104,760",Colfax,WA,Columbia State Bank,46.880165,-117.36435
BANK OF SHOREWOOD,22637,10386,"SHOREWOOD, IL",8/5/2011,DIF,PA ,NM ,FAILURE,"104,021","110,723","29,378",Shorewood,IL,Heartland Bank and Trust Company,41.52003,-88.201729
INTEGRA BANK NATIONAL ASSOCIATION,4392,10384,"EVANSVILLE, IN",7/29/2011,DIF,PA ,N ,FAILURE,"1,693,592","1,994,430","89,107",Evansville,IN,Old National Bank,37.971559,-87.57109
VIRGINIA BUSINESS BANK,58283,10385,"RICHMOND, VA",7/29/2011,DIF,PA ,SM ,FAILURE,"72,955","83,493","19,851",Richmond,VA,Xenith Bank,37.540725,-77.436048
"BANKMERIDIAN, N.A.",58222,10383,"COLUMBIA, SC",7/29/2011,DIF,PA ,N ,FAILURE,"209,737","232,648","49,444",Columbia,SC,SCBT National Association,34.00071,-81.034814
SOUTHSHORE COMMUNITY BANK,58056,10382,"APOLLO BEACH, FL",7/22/2011,DIF,PA ,NM ,FAILURE,"41,434","41,252","11,403",Apollo Beach,FL,American Momentum Bank,27.773084,-82.407593
BANK OF CHOICE,2994,10380,"GREELEY, CO",7/22/2011,DIF,PA ,NM ,FAILURE,"818,670","954,106","139,501",Greeley,CO,"Bank Midwest, N.A.",40.423314,-104.709132
LANDMARK BANK OF FLORIDA,35244,10381,"SARASOTA, FL",7/22/2011,DIF,PA ,SM ,FAILURE,"244,362","266,482","37,485",Sarasota,FL,American Momentum Bank,27.336435,-82.530653
FIRST PEOPLES BANK,34870,10376,"PORT SAINT LUCIE, FL",7/15/2011,DIF,PA ,NM ,FAILURE,"207,621","225,035","13,110",Port St. Lucie,FL,"Premier American Bank, N.A.",27.273049,-80.358226
HIGH TRUST BANK,19554,10377,"STOCKBRIDGE, GA",7/15/2011,DIF,PA ,NM ,FAILURE,"177,221","180,340","71,672",Stockbridge,GA,Ameris Bank,33.544278,-84.233809
ONE GEORGIA BANK,58238,10378,"ATLANTA, GA",7/15/2011,DIF,PA ,NM ,FAILURE,"158,123","177,715","40,898",Atlanta,GA,Ameris Bank,33.748995,-84.387982
SUMMIT BANK,57442,10379,"PRESCOTT, AZ",7/15/2011,DIF,PA ,NM ,FAILURE,"67,471","73,066","14,868",Prescott,AZ,The Foothills Bank,34.540024,-112.468502
FIRST CHICAGO BANK & TRUST,27935,10374,"CHICAGO, IL",7/8/2011,DIF,PA ,SM ,FAILURE,"830,530","896,864","197,884",Chicago,IL,Northbrook Bank & Trust Company,41.878114,-87.629798
COLORADO CAPITAL BANK,34522,10373,"CASTLE ROCK, CO",7/8/2011,DIF,PA ,NM ,FAILURE,"635,202","665,806","254,944",Castle Rock,CO,First-Citizens Bank & Trust Company,39.372212,-104.856090
SIGNATURE  BANK,57835,10375,"WINDSOR, CO",7/8/2011,DIF,PA ,NM ,FAILURE,"60,349","62,518","23,311",Windsor,CO,Points West Community Bank,40.477482,-104.901362
MOUNTAIN HERITAGE BANK,57593,10372,"CLAYTON, GA",6/24/2011,DIF,PA ,NM ,FAILURE,"89,554","103,716","34,481",Clayton,GA,First American Bank and Trust Company,34.878148,-83.400993
MCINTOSH STATE BANK,19237,10371,"JACKSON, GA",6/17/2011,DIF,PA ,NM ,FAILURE,"324,403","339,929","78,350",Jackson,GA,Hamilton State Bank,33.294565,-83.966021
FIRST COMMERCIAL BANK OF TAMPA BAY,27583,10370,"TAMPA, FL",6/17/2011,DIF,PA ,NM ,FAILURE,"92,641","98,624","33,477",Tampa,FL,Stonegate Bank,27.950575,-82.457178
ATLANTIC BANK AND TRUST,58420,10369,"CHARLESTON, SC",6/3/2011,DIF,PA ,SA ,FAILURE,"191,614","208,204","32,716",Charleston,SC,"First Citizens Bank and Trust Company, Inc.",32.776475,-79.931051
FIRST HERITAGE BANK,23626,10368,"SNOHOMISH, WA",5/27/2011,DIF,PA ,NM ,FAILURE,"163,303","173,478","34,401",Snohomish,WA,Columbia State Bank,47.912876,-122.098185
ATLANTIC SOUTHERN BANK,57213,10365,"MACON, GA",5/20/2011,DIF,PA ,NM ,FAILURE,"707,643","741,855","282,023",Macon,GA,"CertusBank, National Association",32.840695,-83.632402
FIRST GEORGIA BANKING COMPANY,57647,10366,"FRANKLIN, GA",5/20/2011,DIF,PA ,NM ,FAILURE,"702,231","730,981","136,811",Franklin,GA,"CertusBank, National Association",33.277618,-85.097997
SUMMIT BANK,513,10367,"BURLINGTON, WA",5/20/2011,DIF,PA ,NM ,FAILURE,"131,631","142,729","25,664",Burlington,WA,Columbia State Bank,48.475662,-122.325437
COASTAL BANK,34898,10364,"COCOA BEACH, FL",5/6/2011,DIF,PA ,SA ,FAILURE,"123,950","129,429","18,527",Cocoa Beach,FL,"Florida Community Bank, a division of Premier American Bank, N.A.",28.320007,-80.607551
COMMUNITY CENTRAL BANK,34234,10359,"MOUNT CLEMENS, MI",4/29/2011,DIF,PA ,NM ,FAILURE,"371,494","451,683","98,808",Mount Clemens,MI,Talmer Bank & Trust,42.597256,-82.877975
THE PARK AVENUE BANK,19797,10363,"VALDOSTA, GA",4/29/2011,DIF,PA ,SM ,FAILURE,"724,483","849,409","236,988",Valdosta,GA,Bank of the Ozarks,30.832702,-83.278485
FIRST NATIONAL BANK OF CENTRAL FLORIDA,26297,10362,"WINTER PARK, FL",4/29/2011,DIF,PA ,N ,FAILURE,"308,784","342,079","42,899",Winter Park,FL,"Florida Community Bank, a division of Premier American Bank, N.A.",28.6,-81.339235
CORTEZ COMMUNITY  BANK,57625,10360,"BROOKSVILLE, FL",4/29/2011,DIF,PA ,NM ,FAILURE,"65,439","66,282","17,194",Brooksville,FL,"Florida Community Bank, a division of Premier American Bank, N.A.",28.555272,-82.387871
FIRST CHOICE COMMUNITY BANK,58539,10361,"DALLAS, GA",4/29/2011,DIF,PA ,NM ,FAILURE,"294,769","291,196","105,180",Dallas,GA,Bank of the Ozarks,33.924453,-84.841306
NEW HORIZONS BANK,57705,10355,"EAST ELLIJAY, GA",4/15/2011,DIF,PA ,NM ,FAILURE,"99,022","103,055","34,732",East Ellijay,GA,Citizens South Bank,34.683975,-84.472705
SUPERIOR BANK,17750,10358,"BIRMINGHAM, AL",4/15/2011,DIF,PA ,SA ,FAILURE,"2,736,201","2,977,290","323,186",Birmingham,AL,"Superior Bank, National Association",33.520661,-86.80249
HERITAGE BANKING GROUP,14273,10354,"CARTHAGE, MS",4/15/2011,DIF,PA ,NM ,FAILURE,"205,035","228,328","38,173",Carthage,MS,Trustmark National Bank,32.732636,-89.536182
NEXITY BANK,19794,10356,"BIRMINGHAM, AL",4/15/2011,DIF,PA ,NM ,FAILURE,"611,681","757,574","180,152",Birmingham,AL,AloStar Bank of Commerce,33.520661,-86.80249
BARTOW COUNTY BANK,21495,10353,"CARTERSVILLE, GA",4/15/2011,DIF,PA ,NM ,FAILURE,"290,005","314,019","85,550",Cartersville,GA,Hamilton State Bank,34.165097,-84.799938
ROSEMOUNT NATIONAL BANK,24099,10357,"ROSEMOUNT, MN",4/15/2011,DIF,PA ,N ,FAILURE,"20,980","21,454","5,398",Rosemount,MN,Central Bank,44.73941,-93.125772
NEVADA COMMERCE BANK,35418,10351,"LAS VEGAS, NV",4/8/2011,DIF,PA ,NM ,FAILURE,"128,573","135,064","40,024",Las Vegas,NV,City National Bank,36.169941,-115.13983
WESTERN SPRINGS NATIONAL BANK AND TRUST,10086,10352,"WESTERN SPRINGS, IL",4/8/2011,DIF,PA ,N ,FAILURE,"182,441","186,677","38,547",Western Springs,IL,Heartland Bank and Trust Company,41.809753,-87.900616
THE BANK OF COMMERCE,34292,10350,"WOOD DALE, IL",3/25/2011,DIF,PA ,NM ,FAILURE,"161,379","163,074","44,438",Wood Dale,IL,Advantage National Bank Group,41.963363,-87.978956
LEGACY BANK,34818,10348,"MILWAUKEE, WI",3/11/2011,DIF,PA ,SM ,FAILURE,"183,309","190,418","76,731",Milwaukee,WI,Seaway Bank and Trust Company,43.038902,-87.906474
THE FIRST NATIONAL BANK OF DAVIS,4077,10349,"DAVIS, OK",3/11/2011,DIF,PA ,N ,FAILURE,"68,331","90,183","33,812",Davis,OK,The Pauls Valley National Bank,34.504532,-97.119464
VALLEY COMMUNITY BANK,34187,10347,"ST. CHARLES, IL",2/25/2011,DIF,PA ,NM ,FAILURE,"124,179","123,774","28,270",St. Charles,IL,First State Bank,41.914195,-88.308687
"SAN LUIS TRUST BANK, FSB",34783,10346,"SAN LUIS OBISPO, CA",2/18/2011,DIF,PA ,SA ,FAILURE,"272,216","332,596","72,906",San Luis Obispo,CA,First California Bank,35.282752,-120.659616
CITIZENS BANK OF EFFINGHAM,34601,10344,"SPRINGFIELD, GA",2/18/2011,DIF,PA ,NM ,FAILURE,"206,490","214,275","48,619",Springfield,GA,Heritage Bank of the South,32.364224,-81.30418
HABERSHAM BANK,151,10345,"CLARKESVILLE, GA",2/18/2011,DIF,PA ,NM ,FAILURE,"339,934","387,681","119,453",Clarkesville,GA,SCBT National Association,34.612597,-83.524893
CHARTER OAK BANK,57855,10343,"NAPA, CA",2/18/2011,DIF,PA ,NM ,FAILURE,"105,309","120,833","21,544",Napa,CA,Bank of Marin,38.297538,-122.286865
BADGER STATE BANK,13272,10339,"CASSVILLE, WI",2/11/2011,DIF,PA ,NM ,FAILURE,"78,549","83,828","19,454",Cassville,WI,Royal Bank,42.714437,-90.990684
PEOPLES STATE BANK,14939,10341,"HAMTRAMCK, MI",2/11/2011,DIF,PA ,NM ,FAILURE,"389,868","390,524","103,271",Hamtramck,MI,First Michigan Bank,42.392815,-83.049644
CANYON NATIONAL BANK,34692,10340,"PALM SPRINGS, CA",2/11/2011,DIF,PA ,N ,FAILURE,"205,285","210,859","15,617",Palm Springs,CA,Pacific Premier Bank,33.830296,-116.545292
SUNSHINE STATE COMMUNITY BANK,35478,10342,"PORT ORANGE, FL",2/11/2011,DIF,PA ,NM ,FAILURE,"116,715","125,531","32,294",Port Orange,FL,"Premier American Bank, N.A.",29.138316,-80.99561
NORTH GEORGIA BANK,35242,10338,"WATKINSVILLE, GA",2/4/2011,DIF,PA ,NM ,FAILURE,"139,672","153,172","48,860",Watkinsville,GA,BankSouth,33.862896,-83.408771
AMERICAN TRUST BANK,57432,10336,"ROSWELL, GA",2/4/2011,DIF,PA ,NM ,FAILURE,"222,161","238,205","70,717",Roswell,GA,Renasant Bank,34.023243,-84.361556
COMMUNITY FIRST BANK - CHICAGO,57948,10337,"CHICAGO, IL",2/4/2011,DIF,PA ,SM ,FAILURE,"49,504","51,083","10,994",Chicago,IL,Northbrook Bank & Trust Company,41.878114,-87.629798
FIRSTIER BANK,57646,10334,"LOUISVILLE, CO",1/28/2011,DIF,PO ,NM ,FAILURE,"718,797","764,090","240,888",Louisville,CO,No Acquirer,39.977763,-105.13193
FIRST COMMUNITY BANK,12261,10333,"TAOS, NM",1/28/2011,DIF,PA ,SM ,FAILURE,"1,847,851","2,188,154","241,540",Taos,NM,"U.S. Bank, N.A.",36.407249,-105.573066
EVERGREEN STATE BANK,5328,10332,"STOUGHTON, WI",1/28/2011,DIF,PA ,NM ,FAILURE,"193,694","240,949","28,789",Stoughton,WI,McFarland State Bank,42.916946,-89.217894
THE FIRST STATE BANK,2303,10335,"CAMARGO, OK",1/28/2011,DIF,PA ,NM ,FAILURE,"41,204","44,546","33,591",Camargo,OK,Bank 7,36.017267,-99.289272
ENTERPRISE BANKING COMPANY,19758,10329,"MCDONOUGH, GA",1/21/2011,DIF,PO ,NM ,FAILURE,"94,591","99,461","46,036",McDonough,GA,No Acquirer,33.447336,-84.146862
COMMUNITYSOUTH BANK AND TRUST,57868,10328,"EASLEY, SC",1/21/2011,DIF,PA ,NM ,FAILURE,"314,250","340,986","45,189",Easley,SC,"CertusBank, National Association",34.829838,-82.601521
THE BANK OF ASHEVILLE,34516,10330,"ASHEVILLE, NC",1/21/2011,DIF,PA ,NM ,FAILURE,"199,394","204,925","45,095",Asheville,NC,First Bank,35.595058,-82.551487
UNITED WESTERN BANK,31293,10331,"DENVER, CO",1/21/2011,DIF,PA ,SA ,FAILURE,"1,535,194","2,153,690","162,140",Denver,CO,First-Citizens Bank & Trust Company,39.739236,-104.990251
OGLETHORPE BANK,57440,10327,"BRUNSWICK, GA",1/14/2011,DIF,PA ,NM ,FAILURE,"201,369","211,149","84,130",Brunswick,GA,Bank of the Ozarks,31.149953,-81.491489
FIRST COMMERCIAL BANK OF FLORIDA,34965,10325,"ORLANDO, FL",1/7/2011,DIF,PA ,SM ,FAILURE,"537,223","578,638","88,904",Orlando,FL,First Southern Bank,28.538335,-81.379236
LEGACY BANK,57820,10326,"SCOTTSDALE, AZ",1/7/2011,DIF,PA ,NM ,FAILURE,"119,685","136,446","32,224",Scottsdale,AZ,Enterprise Bank & Trust,33.49417,-111.926052
"APPALACIAN COMMUNITY BANK, F.S.B.",58495,10319,"MCCAYSVILLE, GA",12/17/2010,DIF,PA ,SA ,FAILURE,"76,360","68,201","28,814",McCaysville,GA,Peoples Bank of East Tennessee,34.986191,-84.371312
FIRST SOUTHERN BANK,58052,10322,"BATESVILLE, AR",12/17/2010,DIF,PA ,NM ,FAILURE,"172,514","191,764","25,100",Batesville,AR,Southern Bank,35.769799,-91.640972
CHESTATEE STATE BANK,34578,10320,"DAWSONVILLE, GA",12/17/2010,DIF,PA ,NM ,FAILURE,"244,476","244,376","83,075",Dawsonville,GA,Bank of the Ozarks,34.421205,-84.11908
UNITED AMERICAS BANK,35065,10323,"ATLANTA, GA",12/17/2010,DIF,PA ,N ,FAILURE,"244,172","242,339","96,415",Atlanta,GA,State Bank and Trust Company,33.748995,-84.387982
THE BANK OF MIAMI,19040,10324,"CORAL GABLES, FL",12/17/2010,DIF,PA ,N ,FAILURE,"374,218","448,150","29,876",Coral Gables,FL,1st United Bank,25.72149,-80.268384
COMMUNITY NATIONAL BANK,23306,10321,"LINO LAKES, MN",12/17/2010,DIF,PA ,N ,FAILURE,"28,916","31,569","5,827",Lino Lakes,MN,Farmers & Merchants Savings Bank,45.160244,-93.088832
EARTHSTAR BANK,35561,10317,"SOUTHAMPTON, PA",12/10/2010,DIF,PA ,NM ,FAILURE,"104,505","112,643","24,558",Southampton,PA,Polonia Bank,40.179209,-75.043592
PARAMOUNT BANK,34673,10318,"FARMINGTON HILLS, MI",12/10/2010,DIF,PA ,SM ,FAILURE,"213,550","252,744","68,586",Farmington Hills,MI,Level One Bank,42.498994,-83.367717
ALLEGIANCE BANK OF NORTH AMERICA,35078,10314,"BALA CYNWYD, PA",11/19/2010,DIF,PA ,NM ,FAILURE,"91,996","106,595","12,776",Bala Cynwyd,PA,VIST Bank,40.013142,-75.230404
GULF STATE COMMUNITY BANK,20340,10316,"CARRABELLE, FL",11/19/2010,DIF,PA ,NM ,FAILURE,"112,193","112,144","44,443",Carrabelle,FL,Centennial Bank,29.853264,-84.664348
FIRST BANKING CENTER,5287,10315,"BURLINGTON, WI",11/19/2010,DIF,PA ,SM ,FAILURE,"664,752","750,724","88,775",Burlington,WI,First Michigan Bank,42.678073,-88.276203
DARBY BANK & TRUST COMPANY,14580,10312,"VIDALIA, GA",11/12/2010,DIF,PA ,NM ,FAILURE,"587,626","654,714","131,352",Vidalia,GA,Ameris Bank,32.217686,-82.413461
COPPER STAR BANK,35463,10311,"SCOTTSDALE, AZ",11/12/2010,DIF,PA ,NM ,FAILURE,"190,182","203,955","55,375",Scottsdale,AZ,"Stearns Bank, N.A.",33.49417,-111.926052
TIFTON BANKING COMPANY,57831,10313,"TIFTON, GA",11/12/2010,DIF,PA ,NM ,FAILURE,"141,573","143,729","25,194",Tifton,GA,Ameris Bank,31.450463,-83.508497
FIRST VIETNAMESE AMERICAN BANK,57885,10307,"WESTMINSTER, CA",11/5/2010,DIF,PA ,NM ,FAILURE,"47,012","48,000","14,585",Westminster,CA,Grandpoint Bank,33.759176,-117.989706
K BANK,31263,10308,"RANDALLSTOWN, MD",11/5/2010,DIF,PA ,NM ,FAILURE,"500,056","538,258","142,343",Randallstown,MD,Manufacturers and Traders Trust Company (M&T Bank),39.367328,-76.795253
PIERCE COMMERCIAL BANK,34411,10309,"TACOMA, WA",11/5/2010,DIF,PA ,SM ,FAILURE,"193,473","221,082","26,754",Tacoma,WA,Heritage Bank,47.252877,-122.444291
WESTERN COMMERCIAL BANK,58087,10310,"WOODLAND HILLS, CA",11/5/2010,DIF,PA ,NM ,FAILURE,"101,127","98,635","16,943",Woodland Hills,CA,First California Bank,34.165357,-118.608975
HILLCREST BANK,22173,10302,"OVERLAND PARK, KS",10/22/2010,DIF,PA ,NM ,FAILURE,"1,488,785","1,583,611","275,983",Overland Park,KS,"Hillcrest Bank, N.A.",38.982228,-94.670792
THE GORDON BANK,33904,10305,"GORDON, GA",10/22/2010,DIF,PA ,NM ,FAILURE,"26,867","29,259","11,480",Gordon,GA,Morris Bank,32.882087,-83.332385
"FIRST ARIZONA SAVINGS, A FSB",32582,10306,"SCOTTSDALE, AZ",10/22/2010,DIF,PO ,SA ,FAILURE,"190,615","255,920","34,292",Scottsdale,AZ,No Acquirer,33.49417,-111.926052
PROGRESS BANK OF FLORIDA,32251,10303,"TAMPA, FL",10/22/2010,DIF,PA ,SM ,FAILURE,"86,861","94,823","34,562",Tampa,FL,Bay Cities Bank,27.950575,-82.457178
FIRST SUBURBAN NATIONAL BANK,16089,10301,"MAYWOOD, IL",10/22/2010,DIF,PA ,N ,FAILURE,"135,475","143,451","44,321",Maywood,IL,Seaway Bank and Trust Company,41.879198,-87.843116
THE FIRST NATIONAL BANK OF BARNESVILLE,2119,10304,"BARNESVILLE, GA",10/22/2010,DIF,PA ,N ,FAILURE,"122,880","126,622","46,897",Barnesville,GA,United Bank,33.054571,-84.155750
FIRST BANK OF JACKSONVILLE,27573,10300,"JACKSONVILLE, FL",10/22/2010,DIF,PA ,NM ,FAILURE,"72,198","73,922","14,726",Jacksonville,FL,Ameris Bank,30.332184,-81.655651
"SECURITY SAVINGS BANK, F.S.B.",30898,10298,"OLATHE, KS",10/15/2010,DIF,PA ,SA ,FAILURE,"347,080","453,349","55,726",Olathe,KS,Simmons First National Bank,38.881396,-94.819128
PREMIER BANK,34016,10297,"JEFFERSON CITY, MO",10/15/2010,DIF,PA ,NM ,FAILURE,"869,367","989,382","313,904",Jefferson City,MO,Providence Bank,38.576702,-92.173516
WESTBRIDGE BANK AND TRUST COMPANY,58205,10299,"CHESTERFIELD, MO",10/15/2010,DIF,PA ,NM ,FAILURE,"70,131","87,782","22,438",Chesterfield,MO,Midland States Bank,38.663108,-90.577067
SHORELINE BANK,35250,10295,"SHORELINE, WA",10/1/2010,DIF,PA ,NM ,FAILURE,"90,644","92,980","24,411",Shoreline,WA,GBC International Bank,47.755966,-122.345697
WAKULLA BANK,21777,10296,"CRAWFORDVILLE, FL",10/1/2010,DIF,PA ,NM ,FAILURE,"367,228","402,205","122,473",Crawfordville,FL,Centennial Bank,30.194484,-84.371121
NORTH COUNTY BANK,35053,10294,"ARLINGTON, WA",9/24/2010,DIF,PA ,NM ,FAILURE,"276,081","288,776","70,800",Arlington,WA,Whidbey Island Bank,48.198712,-122.125142
HAVEN TRUST BANK FLORIDA,58308,10293,"PONTE VEDRA BEACH, FL",9/24/2010,DIF,PA ,NM ,FAILURE,"133,561","148,575","34,827",Ponte Vedra Beach,FL,First Southern Bank,30.240006,-81.38526
THE BANK OF ELLIJAY,58197,10287,"ELLIJAY, GA",9/17/2010,DIF,PA ,NM ,FAILURE,"160,718","168,820","79,709",Ellijay,GA,Community & Southern Bank,34.694808,-84.48215
ISN BANK,57107,10290,"CHERRY HILL, NJ",9/17/2010,DIF,PA ,NM ,FAILURE,"79,652","81,564","19,015",Cherry Hill,NJ,Customers Bank,39.926813,-75.024631
FIRST COMMERCE COMMUNITY BANK,57448,10289,"DOUGLASVILLE, GA",9/17/2010,DIF,PA ,NM ,FAILURE,"242,831","248,151","101,039",Douglasville,GA,Community & Southern Bank,33.751497,-84.747714
THE PEOPLES BANK,182,10292,"WINDER, GA",9/17/2010,DIF,PA ,NM ,FAILURE,"398,181","447,185","101,852",Winder,GA,Community & Southern Bank,33.99261,-83.720171
BRAMBLE SAVINGS BANK,27808,10288,"MILFORD, OH",9/17/2010,DIF,PA ,SB ,FAILURE,"41,551","47,523","17,928",Milford,OH,Foundation Bank,39.175338,-84.294382
MARITIME SAVINGS BANK,28612,10291,"WEST ALLIS, WI",9/17/2010,DIF,PA ,SB ,FAILURE,"248,134","350,488","91,030",West Allis,WI,"North Shore Bank, FSB",43.016681,-88.007031
HORIZON BANK,35061,10286,"BRADENTON, FL",9/10/2010,DIF,PA ,SM ,FAILURE,"164,594","187,819","61,394",Bradenton,FL,Bank of the Ozarks,27.498928,-82.574819
BUTTE COMMUNITY BANK,33219,10278,"CHICO, CA",8/20/2010,DIF,PA ,NM ,FAILURE,"471,256","498,751","9,440",Chico,CA,"Rabobank, N.A.",39.728494,-121.837478
LOS PADRES BANK,32165,10282,"SOLVANG, CA",8/20/2010,DIF,PA ,SB ,FAILURE,"770,899","866,459","31,632",Solvang,CA,Pacific Western Bank,34.59582,-120.137648
IMPERIAL SAVINGS AND LOAN ASSOCIATION,31623,10280,"MARTINSVILLE, VA",8/20/2010,DIF,PA ,SB ,FAILURE,"10,090","9,448","4,752",Martinsville,VA,"River Community Bank, N.A.",36.691526,-79.872539
SHOREBANK,15640,10284,"CHICAGO, IL",8/20/2010,DIF,PA ,NM ,FAILURE,"1,547,403","2,166,431","526,903",Chicago,IL,Urban Partnership Bank,41.878114,-87.629798
COMMUNITY NATIONAL BANK AT BARTOW,25266,10279,"BARTOW, FL",8/20/2010,DIF,PA ,N ,FAILURE,"63,708","67,918","9,170",Bartow,FL,"CenterState Bank of Florida, N.A.",27.896415,-81.843137
PACIFIC STATE BANK,27090,10283,"STOCKTON, CA",8/20/2010,DIF,PA ,SM ,FAILURE,"278,832","312,077","36,624",Stockton,CA,"Rabobank, N.A.",37.957702,-121.29078
SONOMA VALLEY BANK,27259,10285,"SONOMA, CA",8/20/2010,DIF,PA ,NM ,FAILURE,"255,501","337,113","10,176",Sonoma,CA,Westamerica Bank,38.291859,-122.458036
INDEPENDENT NATIONAL BANK,27344,10281,"OCALA, FL",8/20/2010,DIF,PA ,N ,FAILURE,"141,877","156,218","11,982",Ocala,FL,"CenterState Bank of Florida, N.A.",29.187199,-82.140092
PALOS BANK AND TRUST COMPANY,17599,10277,"PALOS HEIGHTS, IL",8/13/2010,DIF,PA ,NM ,FAILURE,"467,784","493,391","70,642",Palos Heights,IL,First Midwest Bank,41.668089,-87.796442
RAVENSWOOD BANK,34231,10276,"CHICAGO, IL",8/6/2010,DIF,PA ,NM ,FAILURE,"269,448","264,628","70,148",Chicago,IL,Northbrook Bank & Trust Company,41.878114,-87.629798
LIBERTYBANK,31964,10273,"EUGENE, OR",7/30/2010,DIF,PA ,NM ,FAILURE,"692,670","714,574","58,683",Eugene,OR,Home Federal Bank,44.052069,-123.086754
BAYSIDE SAVINGS BANK,57669,10271,"PORT SAINT JOE, FL",7/30/2010,DIF,PA ,SB ,FAILURE,"52,720","64,344","12,479",Port Saint Joe,FL,Centennial Bank,29.811876,-85.302974
NORTHWEST BANK & TRUST,57658,10274,"ACWORTH, GA",7/30/2010,DIF,PA ,NM ,FAILURE,"155,531","160,763","33,627",Acworth,GA,State Bank and Trust Company,34.065933,-84.67688
THE COWLITZ BANK,22643,10275,"LONGVIEW, WA",7/30/2010,DIF,PA ,NM ,FAILURE,"474,742","489,019","37,080",Longview,WA,Heritage Bank,46.138168,-122.938167
COASTAL COMMUNITY BANK,9619,10272,"PANAMA CITY BEACH, FL",7/30/2010,DIF,PA ,NM ,FAILURE,"370,016","377,469","116,866",Panama City Beach,FL,Centennial Bank,30.176591,-85.805488
THUNDER BANK,10506,10269,"SYLVAN GROVE, KS",7/23/2010,DIF,PA ,SM ,FAILURE,"27,048","28,248","6,651",Sylvan Grove,KS,The Bennington State Bank,39.009454,-98.394228
WILLIAMSBURG FIRST NATIONAL BANK,17837,10270,"KINGSTREE, SC",7/23/2010,DIF,PA ,N ,FAILURE,"126,993","130,411","2,425",Kingstree,SC,"First Citizens Bank and Trust Company, Inc.",33.667664,-79.830626
HOME VALLEY BANK,23181,10266,"CAVE JUNCTION, OR",7/23/2010,DIF,PA ,SM ,FAILURE,"227,935","250,488","32,112",Cave Junction,OR,South Valley Bank & Trust,42.162891,-123.648123
CRESCENT BANK AND TRUST COMPANY,27559,10265,"JASPER, GA",7/23/2010,DIF,PA ,NM ,FAILURE,"932,809","970,235","307,089",Jasper,GA,Renasant Bank,34.469552,-84.428989
SOUTHWESTUSA BANK,35434,10267,"LAS VEGAS, NV",7/23/2010,DIF,PA ,NM ,FAILURE,"183,985","203,690","87,710",Las Vegas,NV,Plaza Bank,36.169941,-115.13983
COMMUNITY SECURITY BANK,34486,10264,"NEW PRAGUE, MN",7/23/2010,DIF,PA ,NM ,FAILURE,"95,100","100,649","18,495",New Prague,MN,Roundbank,44.543297,-93.576065
STERLING BANK,32536,10268,"LANTANA, FL",7/23/2010,DIF,PA ,SM ,FAILURE,"329,541","354,966","42,517",Lantana,FL,IBERIABANK,26.586736,-80.051986
WOODLANDS BANK,32571,10262,"BLUFFTON, SC",7/16/2010,DIF,PA ,SB ,FAILURE,"364,808","382,803","107,349",Bluffton,SC,Bank of the Ozarks,32.237147,-80.860387
TURNBERRY BANK,32280,10261,"AVENTURA, FL",7/16/2010,DIF,PA ,SB ,FAILURE,"179,169","240,250","28,658",Aventura,FL,NAFH National Bank,25.956481,-80.139212
FIRST NATIONAL BANK OF THE SOUTH,35383,10263,"SPARTANBURG, SC",7/16/2010,DIF,PA ,N ,FAILURE,"550,891","619,374","69,391",Spartanburg,SC,NAFH National Bank,34.949567,-81.932048
METRO BANK OF DADE COUNTY,25172,10259,"MIAMI, FL",7/16/2010,DIF,PA ,SM ,FAILURE,"375,522","399,441","64,179",Miami,FL,NAFH National Bank,25.76168,-80.19179
OLDE CYPRESS COMMUNITY BANK,28864,10260,"CLEWISTON, FL",7/16/2010,DIF,PA ,SB ,FAILURE,"157,997","161,355","25,533",Clewiston,FL,"CenterState Bank of Florida, N.A.",26.754231,-80.933675
"MAINSTREET SAVINGS BANK, FSB",28136,10258,"HASTINGS, MI",7/16/2010,DIF,PA ,SB ,FAILURE,"63,291","96,584","14,318",Hastings,MI,Commercial Bank,42.645868,-85.29084
BAY NATIONAL BANK,35462,10255,"BALTIMORE, MD",7/9/2010,DIF,PA ,N ,FAILURE,"212,612","217,743","21,144",Baltimore,MD,"Bay Bank, FSB",39.290385,-76.612189
USA BANK,58072,10254,"PORT CHESTER, NY",7/9/2010,DIF,PA ,NM ,FAILURE,"188,644","190,678","64,576",Port Chester,NY,New Century Bank,41.001764,-73.665683
IDEAL FEDERAL SAVINGS BANK,32456,10257,"BALTIMORE, MD",7/9/2010,DIF,PO ,SB ,FAILURE,"5,803","6,177","4,179",Baltimore,MD,No Acquirer,39.290385,-76.612189
HOME NATIONAL BANK,11636,10256,"BLACKWELL, OK",7/9/2010,DIF,PA ,N ,FAILURE,"514,038","585,445","65,822",Blackwell,OK,RCB Bank,36.804477,-97.282821
FIRST NATIONAL BANK,34152,10251,"SAVANNAH, GA",6/25/2010,DIF,PA ,N ,FAILURE,"231,857","252,520","81,375",Savannah,GA,"The Savannah Bank, N.A.",32.083541,-81.099834
